# Wavenumber/cm**-1  Wavelength/nm        FC               HT              FCHT
   0.10530000E+05   0.94966900E+03   0.29713605E-05   0.12239659E-04   0.15211020E-04
   0.10535000E+05   0.94921828E+03   0.29740017E-05   0.12246293E-04   0.15220295E-04
   0.10540000E+05   0.94876799E+03   0.29766449E-05   0.12252928E-04   0.15229573E-04
   0.10545000E+05   0.94831812E+03   0.29792900E-05   0.12259564E-04   0.15238854E-04
   0.10550000E+05   0.94786868E+03   0.29819370E-05   0.12266202E-04   0.15248139E-04
   0.10555000E+05   0.94741967E+03   0.29845860E-05   0.12272841E-04   0.15257427E-04
   0.10560000E+05   0.94697108E+03   0.29872369E-05   0.12279481E-04   0.15266718E-04
   0.10565000E+05   0.94652291E+03   0.29898897E-05   0.12286122E-04   0.15276012E-04
   0.10570000E+05   0.94607517E+03   0.29925445E-05   0.12292765E-04   0.15285310E-04
   0.10575000E+05   0.94562786E+03   0.29952013E-05   0.12299409E-04   0.15294610E-04
   0.10580000E+05   0.94518096E+03   0.29978600E-05   0.12306054E-04   0.15303914E-04
   0.10585000E+05   0.94473449E+03   0.30005206E-05   0.12312701E-04   0.15313221E-04
   0.10590000E+05   0.94428844E+03   0.30031832E-05   0.12319348E-04   0.15322532E-04
   0.10595000E+05   0.94384281E+03   0.30058478E-05   0.12325998E-04   0.15331845E-04
   0.10600000E+05   0.94339760E+03   0.30085143E-05   0.12332648E-04   0.15341162E-04
   0.10605000E+05   0.94295281E+03   0.30111827E-05   0.12339300E-04   0.15350482E-04
   0.10610000E+05   0.94250844E+03   0.30138532E-05   0.12345952E-04   0.15359806E-04
   0.10615000E+05   0.94206449E+03   0.30165256E-05   0.12352607E-04   0.15369132E-04
   0.10620000E+05   0.94162096E+03   0.30191999E-05   0.12359262E-04   0.15378462E-04
   0.10625000E+05   0.94117784E+03   0.30218762E-05   0.12365919E-04   0.15387795E-04
   0.10630000E+05   0.94073514E+03   0.30245545E-05   0.12372577E-04   0.15397132E-04
   0.10635000E+05   0.94029286E+03   0.30272347E-05   0.12379236E-04   0.15406471E-04
   0.10640000E+05   0.93985099E+03   0.30299170E-05   0.12385897E-04   0.15415814E-04
   0.10645000E+05   0.93940954E+03   0.30326012E-05   0.12392559E-04   0.15425160E-04
   0.10650000E+05   0.93896850E+03   0.30352873E-05   0.12399222E-04   0.15434510E-04
   0.10655000E+05   0.93852788E+03   0.30379755E-05   0.12405887E-04   0.15443862E-04
   0.10660000E+05   0.93808767E+03   0.30406656E-05   0.12412553E-04   0.15453218E-04
   0.10665000E+05   0.93764787E+03   0.30433577E-05   0.12419220E-04   0.15462577E-04
   0.10670000E+05   0.93720849E+03   0.30460517E-05   0.12425888E-04   0.15471940E-04
   0.10675000E+05   0.93676952E+03   0.30487478E-05   0.12432558E-04   0.15481306E-04
   0.10680000E+05   0.93633095E+03   0.30514458E-05   0.12439229E-04   0.15490675E-04
   0.10685000E+05   0.93589280E+03   0.30541459E-05   0.12445901E-04   0.15500047E-04
   0.10690000E+05   0.93545506E+03   0.30568479E-05   0.12452575E-04   0.15509423E-04
   0.10695000E+05   0.93501773E+03   0.30595519E-05   0.12459250E-04   0.15518802E-04
   0.10700000E+05   0.93458080E+03   0.30622579E-05   0.12465926E-04   0.15528184E-04
   0.10705000E+05   0.93414429E+03   0.30649659E-05   0.12472604E-04   0.15537570E-04
   0.10710000E+05   0.93370818E+03   0.30676759E-05   0.12479283E-04   0.15546958E-04
